Total Wall-Clock Time:   00:01:28 
Total Wall-Clock Time:   00:01:28 
Total Wall-Clock Time:   00:00:11 
Total Wall-Clock Time:   00:00:29 
Total Wall-Clock Time:   00:00:30 
Total Wall-Clock Time:   00:00:33 
Total Wall-Clock Time:   00:00:34 
Total Wall-Clock Time:   00:00:34 
Total Wall-Clock Time:   00:00:37 
Total Wall-Clock Time:   00:00:40 
Total Wall-Clock Time:   00:00:42 
Total Wall-Clock Time:   00:00:42 
Total Wall-Clock Time:   00:00:43 
Total Wall-Clock Time:   00:00:49 
Total Wall-Clock Time:   00:00:49 
Total Wall-Clock Time:   00:00:50 
Total Wall-Clock Time:   00:00:50 
Total Wall-Clock Time:   00:00:50 
Total Wall-Clock Time:   00:00:51 
Total Wall-Clock Time:   00:02:02 
Total Wall-Clock Time:   00:03:09 
Total Wall-Clock Time:   00:03:40 
Total Wall-Clock Time:   00:03:58 
Total Wall-Clock Time:   00:04:42 
Total Wall-Clock Time:   00:05:14 
Total Wall-Clock Time:   00:06:02 
Total Wall-Clock Time:   00:06:07 
Total Wall-Clock Time:   00:07:18 
Total Wall-Clock Time:   00:00:31 
Total Wall-Clock Time:   00:11:13 
Total Wall-Clock Time:   00:12:48 
Total Wall-Clock Time:   00:15:28 
Total Wall-Clock Time:   00:08:33 
Total Wall-Clock Time:   00:23:48 
Total Wall-Clock Time:   00:24:37 
Total Wall-Clock Time:   00:27:43 
Total Wall-Clock Time:   00:28:48 
Total Wall-Clock Time:   00:29:24 
Total Wall-Clock Time:   00:29:28 
Total Wall-Clock Time:   00:29:25 
Total Wall-Clock Time:   00:29:40 
Total Wall-Clock Time:   00:29:59 
Total Wall-Clock Time:   00:31:48 
Total Wall-Clock Time:   00:33:30 
Total Wall-Clock Time:   00:34:31 
Total Wall-Clock Time:   00:34:58 
Total Wall-Clock Time:   00:36:00 
Total Wall-Clock Time:   00:36:21 
Total Wall-Clock Time:   00:23:55 
Total Wall-Clock Time:   00:06:27 
Total Wall-Clock Time:   00:40:29 
Total Wall-Clock Time:   00:40:56 
Total Wall-Clock Time:   00:41:23 
Total Wall-Clock Time:   00:44:52 
Total Wall-Clock Time:   00:44:50 
Total Wall-Clock Time:   00:03:45 
Total Wall-Clock Time:   00:46:03 
Total Wall-Clock Time:   00:46:35 
Total Wall-Clock Time:   00:47:15 
Total Wall-Clock Time:   00:48:50 
Total Wall-Clock Time:   00:49:07 
Total Wall-Clock Time:   00:49:46 
Total Wall-Clock Time:   00:50:12 
Total Wall-Clock Time:   00:50:57 
Total Wall-Clock Time:   00:52:14 
Total Wall-Clock Time:   00:52:02 
Total Wall-Clock Time:   00:52:18 
Total Wall-Clock Time:   00:52:46 
Total Wall-Clock Time:   00:52:41 
Total Wall-Clock Time:   00:04:08 
Total Wall-Clock Time:   00:53:23 
Total Wall-Clock Time:   00:53:36 
Total Wall-Clock Time:   00:53:22 
Total Wall-Clock Time:   00:53:29 
Total Wall-Clock Time:   00:53:55 
Total Wall-Clock Time:   00:55:33 
Total Wall-Clock Time:   00:57:39 
Total Wall-Clock Time:   00:58:44 
Total Wall-Clock Time:   00:58:38 
Total Wall-Clock Time:   00:58:42 
Total Wall-Clock Time:   00:59:23 
Total Wall-Clock Time:   01:00:15 
Total Wall-Clock Time:   01:00:24 
Total Wall-Clock Time:   01:00:56 
Total Wall-Clock Time:   01:02:04 
Total Wall-Clock Time:   01:02:33 
Total Wall-Clock Time:   00:47:19 
Total Wall-Clock Time:   01:04:17 
Total Wall-Clock Time:   01:04:50 
Total Wall-Clock Time:   01:05:16 
Total Wall-Clock Time:   01:05:42 
Total Wall-Clock Time:   01:06:51 
Total Wall-Clock Time:   01:07:05 
Total Wall-Clock Time:   01:07:42 
Total Wall-Clock Time:   01:07:44 
Total Wall-Clock Time:   01:08:14 
Total Wall-Clock Time:   01:09:36 
Total Wall-Clock Time:   01:09:30 
Total Wall-Clock Time:   01:09:43 
Total Wall-Clock Time:   01:04:46 
Total Wall-Clock Time:   01:09:56 
Total Wall-Clock Time:   01:10:19 
Total Wall-Clock Time:   01:11:25 
Total Wall-Clock Time:   00:39:39 
Total Wall-Clock Time:   01:12:49 
Total Wall-Clock Time:   00:37:51 
Total Wall-Clock Time:   01:13:15 
Total Wall-Clock Time:   01:13:55 
Total Wall-Clock Time:   01:14:21 
Total Wall-Clock Time:   01:15:08 
Total Wall-Clock Time:   01:15:11 
Total Wall-Clock Time:   01:16:30 
Total Wall-Clock Time:   01:17:41 
Total Wall-Clock Time:   01:18:33 
Total Wall-Clock Time:   01:21:35 
Total Wall-Clock Time:   01:22:03 
Total Wall-Clock Time:   01:22:52 
Total Wall-Clock Time:   01:16:33 
Total Wall-Clock Time:   00:55:27 
Total Wall-Clock Time:   01:23:09 
Total Wall-Clock Time:   00:55:14 
Total Wall-Clock Time:   01:25:31 
Total Wall-Clock Time:   01:25:38 
Total Wall-Clock Time:   01:25:59 
Total Wall-Clock Time:   01:26:44 
Total Wall-Clock Time:   01:29:01 
Total Wall-Clock Time:   01:29:56 
Total Wall-Clock Time:   01:26:59 
Total Wall-Clock Time:   01:32:23 
Total Wall-Clock Time:   00:52:01 
Total Wall-Clock Time:   01:33:15 
Total Wall-Clock Time:   01:34:38 
Total Wall-Clock Time:   01:36:00 
Total Wall-Clock Time:   01:36:02 
Total Wall-Clock Time:   01:38:01 
Total Wall-Clock Time:   01:09:07 
Total Wall-Clock Time:   01:39:02 
Total Wall-Clock Time:   00:50:02 
Total Wall-Clock Time:   01:43:26 
Total Wall-Clock Time:   01:39:32 
Total Wall-Clock Time:   01:00:53 
Total Wall-Clock Time:   01:44:44 
Total Wall-Clock Time:   00:07:11 
Total Wall-Clock Time:   01:49:46 
Total Wall-Clock Time:   01:50:47 
Total Wall-Clock Time:   01:46:45 
Total Wall-Clock Time:   01:02:33 
Total Wall-Clock Time:   01:54:19 
Total Wall-Clock Time:   01:54:28 
Total Wall-Clock Time:   01:55:00 
Total Wall-Clock Time:   01:54:47 
Total Wall-Clock Time:   01:55:44 
Total Wall-Clock Time:   01:55:46 
Total Wall-Clock Time:   01:56:56 
Total Wall-Clock Time:   01:04:44 
Total Wall-Clock Time:   01:57:00 
Total Wall-Clock Time:   01:58:05 
Total Wall-Clock Time:   01:58:30 
Total Wall-Clock Time:   01:58:53 
Total Wall-Clock Time:   01:59:08 
Total Wall-Clock Time:   01:29:43 
Total Wall-Clock Time:   01:34:13 
Total Wall-Clock Time:   00:24:24 
Total Wall-Clock Time:   01:50:16 
Total Wall-Clock Time:   01:18:20 
Total Wall-Clock Time:   01:16:49 
Total Wall-Clock Time:   01:45:26 
Total Wall-Clock Time:   01:30:07 
Total Wall-Clock Time:   01:46:59 
Total Wall-Clock Time:   01:34:41 
Total Wall-Clock Time:   00:32:33 
Total Wall-Clock Time:   00:33:57 
Total Wall-Clock Time:   01:26:10 
Total Wall-Clock Time:   00:35:57 
Total Wall-Clock Time:   00:00:38 
Total Wall-Clock Time:   00:03:32 
Total Wall-Clock Time:   00:39:26 
Total Wall-Clock Time:   00:36:22 
Total Wall-Clock Time:   00:04:29 
Total Wall-Clock Time:   01:37:32 
Total Wall-Clock Time:   00:32:27 
Total Wall-Clock Time:   00:43:27 
Total Wall-Clock Time:   00:45:38 
Total Wall-Clock Time:   00:50:14 
Total Wall-Clock Time:   00:50:34 
Total Wall-Clock Time:   01:43:16 
Total Wall-Clock Time:   00:55:01 
Total Wall-Clock Time:   00:55:56 
Total Wall-Clock Time:   00:21:56 
Total Wall-Clock Time:   00:58:43 
Total Wall-Clock Time:   01:01:12 
Total Wall-Clock Time:   01:02:28 
Total Wall-Clock Time:   00:27:24 
Total Wall-Clock Time:   00:27:33 
Total Wall-Clock Time:   01:04:44 
Total Wall-Clock Time:   00:29:23 
Total Wall-Clock Time:   01:06:51 
Total Wall-Clock Time:   00:32:38 
Total Wall-Clock Time:   01:09:22 
Total Wall-Clock Time:   00:35:36 
Total Wall-Clock Time:   00:35:45 
Total Wall-Clock Time:   00:36:57 
Total Wall-Clock Time:   00:37:53 
Total Wall-Clock Time:   00:37:57 
Total Wall-Clock Time:   00:39:14 
Total Wall-Clock Time:   00:39:26 
Total Wall-Clock Time:   00:42:30 
Total Wall-Clock Time:   00:42:51 
Total Wall-Clock Time:   00:44:04 
Total Wall-Clock Time:   00:44:34 
Total Wall-Clock Time:   01:21:03 
Total Wall-Clock Time:   01:09:09 
Total Wall-Clock Time:   01:24:02 
Total Wall-Clock Time:   00:49:08 
Total Wall-Clock Time:   00:52:54 
Total Wall-Clock Time:   00:53:34 
Total Wall-Clock Time:   01:29:32 
Total Wall-Clock Time:   00:35:16 
Total Wall-Clock Time:   00:58:41 
Total Wall-Clock Time:   00:55:24 
Total Wall-Clock Time:   00:42:17 
Total Wall-Clock Time:   01:32:45 
Total Wall-Clock Time:   01:03:21 
Total Wall-Clock Time:   01:42:16 
Total Wall-Clock Time:   01:09:38 
Total Wall-Clock Time:   01:11:01 
Total Wall-Clock Time:   01:46:53 
Total Wall-Clock Time:   01:12:33 
Total Wall-Clock Time:   01:49:45 
Total Wall-Clock Time:   01:50:14 
Total Wall-Clock Time:   01:14:47 
Total Wall-Clock Time:   01:15:14 
Total Wall-Clock Time:   01:16:55 
Total Wall-Clock Time:   01:56:39 
Total Wall-Clock Time:   01:57:00 
Total Wall-Clock Time:   01:21:34 
Total Wall-Clock Time:   01:22:18 
Total Wall-Clock Time:   01:58:32 
Total Wall-Clock Time:   01:24:21 
Total Wall-Clock Time:   01:24:21 
Total Wall-Clock Time:   01:27:29 
Total Wall-Clock Time:   01:30:54 
Total Wall-Clock Time:   01:39:42 
Total Wall-Clock Time:   01:40:13 
Total Wall-Clock Time:   01:40:28 
Total Wall-Clock Time:   01:41:35 
Total Wall-Clock Time:   01:42:30 
Total Wall-Clock Time:   01:45:59 
Total Wall-Clock Time:   01:46:19 
Total Wall-Clock Time:   01:52:56 
Total Wall-Clock Time:   01:53:13 
Total Wall-Clock Time:   01:53:17 
Total Wall-Clock Time:   01:58:11 
Total Wall-Clock Time:   01:59:24 
Total Wall-Clock Time:   01:50:36 
Total Wall-Clock Time:   00:00:40 
Total Wall-Clock Time:   00:00:47 
Total Wall-Clock Time:   00:01:02 
Total Wall-Clock Time:   00:00:54 
Total Wall-Clock Time:   00:01:01 
Total Wall-Clock Time:   00:01:06 
Total Wall-Clock Time:   00:01:08 
Total Wall-Clock Time:   00:01:21 
Total Wall-Clock Time:   00:01:24 
Total Wall-Clock Time:   00:01:32 
Total Wall-Clock Time:   00:01:44 
Total Wall-Clock Time:   00:01:42 
Total Wall-Clock Time:   00:01:52 
Total Wall-Clock Time:   00:02:03 
Total Wall-Clock Time:   00:03:09 
Total Wall-Clock Time:   00:03:37 
Total Wall-Clock Time:   00:04:00 
Total Wall-Clock Time:   00:03:56 
Total Wall-Clock Time:   00:04:07 
Total Wall-Clock Time:   00:05:41 
Total Wall-Clock Time:   00:05:41 
Total Wall-Clock Time:   00:06:15 
Total Wall-Clock Time:   00:07:27 
Total Wall-Clock Time:   00:07:24 
Total Wall-Clock Time:   00:07:54 
Total Wall-Clock Time:   00:08:53 
Total Wall-Clock Time:   00:09:21 
Total Wall-Clock Time:   00:09:44 
Total Wall-Clock Time:   00:10:05 
